Doctor_ID,Hospital_ID,Doctor_Name,Doctor_Specialty,Medical_License_Number,NPI_Number,Doctor_Phone,Doctor_Email,Employment_Status
DOC-00033,HOSP-00087,Chris Giles,Orthopedics,LIC-INVALID,9926971160,,doctor@,On Leave
DOC-00034,HOSP-00035,Roberto Weber,Cardiology,LIC-INVALID,,9923613188,,On Leave
DOC-00035,HOSP-00011,Christopher Weiss,Dermatology,,,8464656110,sgarza@example.com,On Leave
DOC-00036,HOSP-00051,Brian Haley,General medicine,LIC-INVALID,,238-737-9973x839,,Active
DOC-00037,HOSP-00041,Kevin Welch,General Medicine,,12345,001-516-633-1748x552,doctor@,
DOC-00038,HOSP-00002,Gabriel Spencer,General Medicine,LIC-INVALID,12345,225-261-5098,,active
DOC-00039,HOSP-00010,Andre Moore,Pediatrics,LIC-INVALID,,,doctor@,Active
DOC-00040,HOSP-00092,Tracey Meadows,Neurology,LIC-INVALID,,N/A,doctor@,active
DOC-00041,HOSP-00045,Cindy Fisher,Pediatrics,LIC-407638,,524.367.4157x28177,,Inactive
DOC-00042,HOSP-00084,Brandon Tanner,Psychiatry,,5539703681,N/A,,Active
DOC-00043,HOSP-00014,Trevor Clayton,Radiology,LIC-INVALID,,N/A,,active
DOC-00044,HOSP-00006,Carl Huffman,Pediatrics,LIC-INVALID,12345,,,On Leave
DOC-00045,HOSP-00072,Brett Duran,ENT,,,N/A,,Inactive
DOC-00046,HOSP-00028,Valerie West,Psychiatry,LIC-INVALID,7941674020,,doctor@,On Leave
DOC-00047,HOSP-00068,Stacy Brown,Orthopedics,LIC-INVALID,,N/A,,Active
DOC-00048,HOSP-00043,Gary Maxwell,General Medicine,LIC-970952,12345,001-570-910-2057,christie84@example.net,On Leave
DOC-00049,HOSP-00094,Melissa White,Pediatrics,LIC-900420,7732223050,804.349.1560x295,ashleyjones@example.org,On Leave
DOC-00050,HOSP-00023,Janice Lucas,General Medicine,,,8417330353,,
DOC-00051,HOSP-00034,Justin Jones,General Medicine,LIC-INVALID,12345,N/A,jonathanmorrison@example.org,Active
DOC-00052,HOSP-00037,Maria Harris,Pediatrics,LIC-INVALID,4621028380,N/A,,Inactive
DOC-00053,HOSP-00083,Brittany Cervantes DVM,Psychiatry,LIC-INVALID,7708581757,(320)712-0536x3316,vfranklin@example.com,
DOC-00054,HOSP-00044,Maria Leon,Oncology,,12345,,,
DOC-00055,HOSP-00080,Stacy Smith,Oncology,LIC-INVALID,1993414329,491-816-9699,doctor@,
DOC-00056,HOSP-00081,Sheila Smith,ENT,,12345,,,
DOC-00057,HOSP-00020,Kelly Davis,Radiology,LIC-INVALID,8591167915,,,On Leave
DOC-00058,HOSP-00017,Destiny Clayton,General Medicine,LIC-347823,,,uschroeder@example.net,Active
DOC-00059,HOSP-00091,Robert Rodriguez,Orthopedics,LIC-301793,4465104318,N/A,,Active
DOC-00060,HOSP-00092,David Weber,Pediatric,,8922083960,,,
DOC-00061,HOSP-00001,Nicole Smith,Neurology,LIC-116189,,N/A,jenkinsstephen@example.com,
DOC-00062,HOSP-00018,Heather Moore,Radiology,LIC-839916,12345,+1-279-357-3298,nicholelopez@example.org,active
DOC-00063,HOSP-00079,Nancy Norman,General Medicine,,5290275025,+1-546-992-6807x775,doctor@,Active
DOC-00064,HOSP-00036,Katie Johnson,Psychiatry,LIC-INVALID,12345,N/A,,active
DOC-00065,HOSP-00032,Christopher Smith,Radiology,LIC-370686,,001-217-230-7283x7540,teresa29@example.org,Inactive
DOC-00066,HOSP-00021,Deborah Jones,ENT,,5485225563,273-915-9684,jennifergoodwin@example.net,Inactive
DOC-00067,HOSP-00005,William Griffin,Psychiatry,LIC-776444,,4564726448,,Active
DOC-00068,HOSP-00098,Sara Hamilton DDS,General Medicine,LIC-INVALID,12345,N/A,,active
DOC-00069,HOSP-00018,Heather Washington,General medicine,LIC-INVALID,12345,,doctor@,active
DOC-00070,HOSP-00021,Jessica Dunn,Radiology,,12345,+1-606-651-8353x999,,active
DOC-00071,HOSP-00064,Jessica Garcia,Psychiatry,,12345,,doctor@,Inactive
DOC-00072,HOSP-00078,Michael Medina,Orthopedics,LIC-849450,8793075335,999.215.0445,,Inactive
DOC-00073,HOSP-00047,Dr. Melissa Brown MD,Dermatology,,,,,
DOC-00074,HOSP-00077,Richard Garcia,General medicine,LIC-718400,12345,236.886.9759x311,susandyer@example.com,Inactive
DOC-00075,HOSP-00015,Ryan Walton,Neurology,LIC-144951,12345,N/A,doctor@,Inactive
DOC-00076,HOSP-00057,Tara Ross,Cardiology,LIC-799199,3618532055,,,
DOC-00077,HOSP-00025,Jennifer Davis,General Medicine,,,,,active
DOC-00078,HOSP-00088,Susan Schmidt,Cardiology,LIC-INVALID,12345,,,On Leave
DOC-00079,HOSP-00033,David Alvarez,Dermatology,,,575.960.4819x235,megan90@example.net,active
DOC-00080,HOSP-00040,Madeline Green,Orthopedics,LIC-805295,12345,N/A,sydneymyers@example.com,On Leave
DOC-00081,HOSP-00010,Sherry Kaiser,General medicine,LIC-INVALID,,952.351.7115x70144,,Active
DOC-00082,HOSP-00042,Tina Alexander,Oncology,LIC-150862,5117684939,N/A,doctor@,On Leave
DOC-00083,HOSP-00043,Virginia Freeman,Dermatology,LIC-905478,12345,N/A,doctor@,Inactive
DOC-00084,HOSP-00060,Michael Huang,Neurology,LIC-INVALID,,+1-723-452-8458x72763,doctor@,On Leave
DOC-00085,HOSP-00028,Michelle Aguilar,Cardiology,LIC-INVALID,,N/A,doctor@,Active
DOC-00086,HOSP-00094,Kayla Valencia,General Medicine,,,(355)300-4419,doctor@,On Leave
DOC-00087,HOSP-00046,Robert Powell,Pediatric,LIC-INVALID,,,doctor@,active
DOC-00088,HOSP-00083,Aaron Guerra,Pediatric,LIC-INVALID,12345,,yleonard@example.org,
DOC-00089,HOSP-00031,George Stone,Neurology,LIC-522410,,(710)417-2352,rclark@example.org,On Leave
DOC-00090,HOSP-00062,Mark Villarreal,Psychiatry,,,,patriciapayne@example.org,Inactive
DOC-00091,HOSP-00052,Karen Medina,cardiology,,2115769669,N/A,johnsonalexis@example.org,active
DOC-00092,HOSP-00054,Christine Smith,Neurology,LIC-INVALID,,N/A,doctor@,active
DOC-00093,HOSP-00093,Adam Lopez,General medicine,,12345,,doctor@,Active
DOC-00094,HOSP-00047,Jason Hernandez,Orthopedics,LIC-200020,12345,N/A,doctor@,
DOC-00095,HOSP-00076,Sandra Davis,Dermatology,LIC-156991,6647412274,N/A,carmensantiago@example.com,active
DOC-00096,HOSP-00098,Todd Bailey,Cardiology,LIC-397630,12345,N/A,doctor@,active
DOC-00097,HOSP-00003,Amanda Berry,Neurology,LIC-313621,5822812049,N/A,bryan83@example.org,On Leave
DOC-00098,HOSP-00069,Nathan Whitaker,General Medicine,,,,doctor@,On Leave
DOC-00099,HOSP-00084,Brian Hill,ENT,LIC-408717,4284097726,,doctor@,active
DOC-00100,HOSP-00083,Mason Morris,Radiology,,12345,,,Active
DOC-00101,HOSP-00024,Richard Harmon,Radiology,LIC-815212,,N/A,,On Leave
DOC-00102,HOSP-00080,Deborah Nguyen,Neurology,LIC-INVALID,7893475172,N/A,doctor@,On Leave
DOC-00103,HOSP-00082,Daniel Watson,Cardiology,LIC-363842,12345,N/A,doctor@,active
DOC-00104,HOSP-00057,Christopher Lynch,Neurology,LIC-INVALID,,937.754.3391x438,doctor@,On Leave
DOC-00105,HOSP-00055,Jason Harding,Pediatrics,LIC-INVALID,12345,,doctor@,Active
DOC-00106,HOSP-00089,Alicia Simmons,Neurology,,5998977856,N/A,doctor@,Inactive
DOC-00107,HOSP-00082,Christopher King,Cardiology,LIC-318709,12345,001-472-817-8466x0922,doctor@,
DOC-00108,HOSP-00054,Karen Harris,Cardiology,LIC-INVALID,,,coreyclark@example.org,Active
DOC-00109,HOSP-00032,Laura Miller,Radiology,LIC-INVALID,,,,Inactive
DOC-00110,HOSP-00088,Andrea Mcdonald,General medicine,,12345,N/A,sandradavis@example.com,On Leave
DOC-00111,HOSP-00060,Sandra Pham,Orthopedics,LIC-725520,2344930037,(340)844-9424x48409,qpeters@example.net,On Leave
DOC-00112,HOSP-00075,Tammy Tucker,cardiology,LIC-INVALID,3663990028,,,active
DOC-00113,HOSP-00087,Alisha Parker,General Medicine,LIC-INVALID,,N/A,brettclark@example.net,Active
DOC-00114,HOSP-00012,Laura Odonnell,Oncology,LIC-INVALID,12345,,destiny80@example.org,Active
DOC-00115,HOSP-00006,William Johnson,Oncology,,,001-523-600-2789x0731,doctor@,
DOC-00116,HOSP-00034,Jacob Hill,cardiology,,,+1-503-386-0108x374,nadams@example.org,Active
DOC-00117,HOSP-00061,Stephanie Smith,General medicine,LIC-INVALID,12345,231.858.0032x54736,alanlucero@example.org,
DOC-00118,HOSP-00060,Anthony Hughes,Radiology,LIC-213825,12345,N/A,doctor@,Active
DOC-00119,HOSP-00043,Karen Coleman,General medicine,,7900628717,N/A,,On Leave
DOC-00120,HOSP-00049,Jennifer Garcia,General Medicine,LIC-659325,3454426543,,jeremy74@example.com,active
DOC-00121,HOSP-00020,Luis Wood,Neurology,,2943614471,,doctor@,Inactive
DOC-00122,HOSP-00090,Jack Barnes,Dermatology,LIC-INVALID,12345,N/A,doctor@,Active
DOC-00123,HOSP-00031,William White,Cardiology,,,,gsutton@example.org,Active
DOC-00124,HOSP-00023,Chad Meyer,General medicine,LIC-829587,12345,N/A,,active
DOC-00125,HOSP-00043,Ashley Garcia,Cardiology,LIC-INVALID,5908294321,N/A,wsullivan@example.net,Active
DOC-00126,HOSP-00054,Maria Colon,Orthopedics,LIC-INVALID,,,doctor@,
DOC-00127,HOSP-00070,Kenneth Nguyen,Cardiology,LIC-760408,2383922239,N/A,joseph41@example.com,
DOC-00128,HOSP-00078,Tracy Daniel,Cardiology,LIC-583960,12345,,doctor@,active
DOC-00129,HOSP-00056,David Grant,Orthopedics,LIC-871510,7877638965,(785)335-0692,doctor@,
DOC-00130,HOSP-00061,Daniel Davis,ENT,,3603739595,N/A,doctor@,Inactive
DOC-00131,HOSP-00007,Scott Ramirez,Psychiatry,LIC-INVALID,1374777006,935.557.3717,doctor@,Active
DOC-00132,HOSP-00032,Elaine Taylor,Oncology,LIC-INVALID,12345,N/A,doctor@,active
DOC-00133,HOSP-00037,Dr. Linda Mcgee,Pediatrics,LIC-853443,7994278518,,sararodriguez@example.net,Inactive
DOC-00134,HOSP-00071,Wendy Meyer,Psychiatry,LIC-746239,6977962941,N/A,doctor@,
DOC-00135,HOSP-00043,Jesse Cook,General medicine,LIC-535374,12345,N/A,,active
DOC-00136,HOSP-00062,William Baker,ENT,LIC-INVALID,12345,N/A,doctor@,On Leave
DOC-00137,HOSP-00007,Michael Mills,Radiology,LIC-357034,,,omarmeza@example.org,Active
DOC-00138,HOSP-00056,Caleb Anderson,Oncology,,12345,,doctor@,active
DOC-00139,HOSP-00074,Michael Hutchinson,Neurology,LIC-INVALID,12345,+1-422-649-1163x265,,On Leave
DOC-00140,HOSP-00097,Kathy Fox,Orthopedics,LIC-443153,12345,,shelleysloan@example.com,active
DOC-00141,HOSP-00096,Matthew Terry,Neurology,,8340412816,976-559-9545x960,,Inactive
DOC-00142,HOSP-00018,Tammy Johnson,ENT,LIC-426541,12345,N/A,doctor@,active
DOC-00143,HOSP-00059,Jose Mullins,Pediatrics,LIC-INVALID,,N/A,,active
DOC-00144,HOSP-00086,Carla Koch,cardiology,LIC-387642,2822856131,N/A,hmcmillan@example.com,
DOC-00145,HOSP-00053,Stephanie Watkins,Pediatric,LIC-660462,,N/A,doctor@,Inactive
DOC-00146,HOSP-00090,Christine Gates,General Medicine,LIC-272950,2574793098,903.736.9106x90943,doctor@,Inactive
DOC-00147,HOSP-00071,Joshua Miller,Orthopedics,LIC-784332,,,doctor@,Active
DOC-00148,HOSP-00016,Nicole Richards,Psychiatry,LIC-721794,,,stephaniecrawford@example.org,Active
DOC-00149,HOSP-00083,Shannon Johnson,ENT,LIC-818439,,897-248-7220x374,doctor@,
DOC-00150,HOSP-00032,Carol Gutierrez,Cardiology,LIC-INVALID,2060422328,,,
DOC-00151,HOSP-00074,Kyle Maldonado,General medicine,LIC-INVALID,9436046290,,doctor@,Active
DOC-00152,HOSP-00089,Jason Russell,Dermatology,LIC-357617,,N/A,,Active
DOC-00153,HOSP-00073,Mrs. Nancy Martin MD,Dermatology,,12345,,,On Leave
DOC-00154,HOSP-00055,Michael Murray,Psychiatry,LIC-541663,12345,+1-320-789-2297x83763,,Inactive
DOC-00155,HOSP-00095,Linda Torres,Orthopedics,LIC-INVALID,12345,,doctor@,active
DOC-00156,HOSP-00030,Ashlee Cline,Neurology,,1685181323,,,Inactive
DOC-00157,HOSP-00046,Jill Burke,Pediatric,LIC-INVALID,9726481418,N/A,mitchellmorales@example.org,active
DOC-00158,HOSP-00069,Ashley Smith,Oncology,,,N/A,tammy92@example.net,Active
DOC-00159,HOSP-00003,Kyle Martin,General Medicine,LIC-INVALID,12345,,doctor@,Inactive
DOC-00160,HOSP-00085,Juan Christensen,General medicine,LIC-560450,,,blacksusan@example.org,Active
DOC-00161,HOSP-00094,Dennis Foster,Pediatric,LIC-INVALID,,(370)727-1735,,Active
DOC-00162,HOSP-00071,Albert Maddox,Radiology,LIC-162624,12345,N/A,philipalvarez@example.org,active
DOC-00163,HOSP-00036,Alyssa Dominguez,ENT,LIC-796351,,(832)527-0409,ebishop@example.net,On Leave
DOC-00164,HOSP-00071,Roy Edwards,Psychiatry,LIC-INVALID,12345,N/A,lreid@example.com,Active
DOC-00165,HOSP-00001,Jeffrey Miller,cardiology,LIC-INVALID,12345,+1-612-340-2967x9717,,On Leave
DOC-00166,HOSP-00072,Ashley James,Psychiatry,,2466294681,N/A,doctor@,Inactive
DOC-00167,HOSP-00024,Ariana Byrd,Neurology,,2588953157,,,
DOC-00168,HOSP-00037,Amy Walton,General Medicine,,12345,,doctor@,Inactive
DOC-00169,HOSP-00039,John Holt,Neurology,,12345,N/A,,
DOC-00170,HOSP-00060,Diane Garcia,Dermatology,LIC-879524,12345,3289097847,,Active
DOC-00171,HOSP-00040,Elizabeth Gillespie,Radiology,LIC-436724,12345,605-859-7514x70138,doctor@,active
DOC-00172,HOSP-00049,John Bray,General medicine,LIC-INVALID,2204239556,,,active
DOC-00173,HOSP-00048,Mr. Jesus Wagner,Dermatology,,,001-876-391-8751,,active
DOC-00174,HOSP-00006,Dr. Brandy Arnold,cardiology,LIC-878331,3642970557,N/A,kevinmarsh@example.net,active
DOC-00175,HOSP-00011,Ronald Gallagher,Psychiatry,LIC-INVALID,5377356765,,doctor@,Inactive
DOC-00176,HOSP-00047,Maria Wood,Pediatric,LIC-INVALID,12345,N/A,amywest@example.com,Inactive
DOC-00177,HOSP-00047,Brooke Lopez,cardiology,LIC-INVALID,12345,(746)982-3874x515,doctor@,Inactive
DOC-00178,HOSP-00038,Michael Summers,Orthopedics,LIC-681713,,,,active
DOC-00179,HOSP-00048,Matthew Henry,ENT,LIC-972272,8394838045,,doctor@,
DOC-00180,HOSP-00094,Dean Huynh,Dermatology,,6166414846,+1-932-385-2955x0141,lindafrye@example.net,On Leave
DOC-00181,HOSP-00093,Paul Lopez,Psychiatry,LIC-313385,12345,,,active
DOC-00182,HOSP-00054,Derek Guzman,Oncology,LIC-203538,4190621120,(375)863-6487,brittanybell@example.net,On Leave
DOC-00183,HOSP-00073,Angel Sanchez,General medicine,LIC-490315,,+1-464-888-0887,,On Leave
DOC-00184,HOSP-00009,Briana Castillo,Pediatrics,LIC-485413,12345,N/A,,Active
DOC-00185,HOSP-00083,Joshua Brown,Radiology,LIC-INVALID,,N/A,,Inactive
DOC-00186,HOSP-00066,Mark Butler,General Medicine,LIC-502516,3361510273,,,Inactive
DOC-00187,HOSP-00052,Courtney Jones,General medicine,,12345,N/A,freemanrandy@example.com,On Leave
DOC-00188,HOSP-00032,Mason Salinas,Dermatology,LIC-380885,12345,,codyevans@example.com,
DOC-00189,HOSP-00081,Steven Smith,cardiology,LIC-411152,12345,,,Inactive
DOC-00190,HOSP-00042,Jennifer Cox,Cardiology,LIC-INVALID,,,,Inactive
DOC-00191,HOSP-00024,Stacy Flores,Orthopedics,,,444.978.0362,doctor@,On Leave
DOC-00192,HOSP-00068,Brandon Martin,Neurology,LIC-INVALID,,211.965.2967x45576,doctor@,Inactive
DOC-00193,HOSP-00026,Christopher Ford,ENT,LIC-INVALID,1527676936,N/A,doctor@,Active
DOC-00194,HOSP-00082,Howard Nielsen,Pediatrics,LIC-INVALID,12345,,doctor@,
DOC-00195,HOSP-00053,Charles Richard,Neurology,LIC-INVALID,5330889195,+1-978-790-3716x0468,,Inactive
DOC-00196,HOSP-00090,Edward Anderson,Orthopedics,,,,,Active
DOC-00197,HOSP-00047,Eric Lester,Orthopedics,LIC-459256,,+1-968-242-0068x12198,doctor@,Active
DOC-00198,HOSP-00100,William Dean,Orthopedics,,6168880000,351-629-9784,wheelersamantha@example.net,Inactive
DOC-00199,HOSP-00011,Marisa Chavez,General Medicine,,12345,,,Active
DOC-00200,HOSP-00046,Sarah Perry,General Medicine,LIC-INVALID,6287911758,001-570-252-5466x7097,doctor@,Inactive
DOC-00201,HOSP-00027,Holly King,Orthopedics,,6264644151,211-244-5652x0636,walkerjoseph@example.com,
DOC-00202,HOSP-00071,Kevin Huynh DDS,Oncology,LIC-INVALID,4461547650,,munozanna@example.com,Active
DOC-00203,HOSP-00069,Susan Hernandez,ENT,LIC-624911,,,martinangel@example.org,
DOC-00204,HOSP-00098,Daniel Chandler,Radiology,LIC-238922,,380-682-0464,,Inactive
DOC-00205,HOSP-00048,Kim Jenkins,Dermatology,LIC-560775,,N/A,doctor@,
DOC-00206,HOSP-00004,Patrick Guzman,Orthopedics,LIC-INVALID,12345,,,
DOC-00207,HOSP-00069,Felicia Cunningham,General medicine,LIC-INVALID,,9238609903,,Active
DOC-00208,HOSP-00070,Darlene Johnson,Dermatology,LIC-INVALID,6014711019,001-911-543-9994x44660,doctor@,
DOC-00209,HOSP-00014,Jake Garza,ENT,,,,doctor@,Active
DOC-00210,HOSP-00001,Melissa Sherman,Cardiology,LIC-INVALID,12345,001-481-261-2817x356,,Active
DOC-00211,HOSP-00017,Brittany Leblanc,Pediatrics,LIC-770579,,,doctor@,On Leave
DOC-00212,HOSP-00060,Christina Leon,Orthopedics,,12345,N/A,,active
DOC-00213,HOSP-00085,Annette Bennett,Dermatology,LIC-803920,,001-347-230-0440,,active
DOC-00214,HOSP-00063,Judy Hunter,Oncology,LIC-683154,12345,+1-465-758-2163x31695,,On Leave
DOC-00215,HOSP-00048,Kenneth Powers,General medicine,,9493059160,,christie67@example.net,Active
DOC-00216,HOSP-00084,Richard Coleman,cardiology,LIC-276423,8265061556,,doctor@,Active
DOC-00217,HOSP-00048,Angel Barker,General Medicine,,,N/A,,
DOC-00218,HOSP-00032,Kevin Douglas,Pediatric,LIC-INVALID,,001-495-205-3507,,On Leave
DOC-00219,HOSP-00064,Cynthia Wells,Pediatrics,LIC-587861,9745958134,N/A,doctor@,
DOC-00220,HOSP-00092,April Armstrong,cardiology,LIC-INVALID,1884417047,N/A,doctor@,active
DOC-00221,HOSP-00030,Katherine Reeves MD,Cardiology,LIC-445001,9496767844,N/A,,Active
DOC-00222,HOSP-00083,James Moore,ENT,LIC-INVALID,12345,,,Inactive
DOC-00223,HOSP-00075,Mary Coleman,Cardiology,LIC-724918,4772721241,N/A,shanesmith@example.org,
DOC-00224,HOSP-00085,Kendra White,General medicine,LIC-912805,,,hbradford@example.net,Active
DOC-00225,HOSP-00071,Kathryn Yang,Pediatric,,12345,N/A,,
DOC-00226,HOSP-00050,Colleen Brown,ENT,,4763670834,+1-393-206-5940x05282,doctor@,Inactive
DOC-00227,HOSP-00067,Janet Diaz,cardiology,LIC-732129,,N/A,,Active
DOC-00228,HOSP-00078,Patricia Lopez,Pediatrics,LIC-815460,,,,active
DOC-00229,HOSP-00096,Darrell Calderon,Neurology,,2617580503,N/A,barneskevin@example.org,
DOC-00230,HOSP-00092,Tammy Martin,Dermatology,LIC-INVALID,9470771818,997-729-8177x523,doctor@,Inactive
DOC-00231,HOSP-00036,Kelsey Stephenson,ENT,,6939398599,N/A,thompsonsteven@example.com,
DOC-00232,HOSP-00001,Taylor Levine,Orthopedics,LIC-INVALID,,,,Inactive
DOC-00233,HOSP-00016,Connie Gordon,General Medicine,,12345,N/A,amandamiller@example.net,Inactive
DOC-00234,HOSP-00043,Sierra Oneal,Neurology,LIC-INVALID,,,doctor@,
DOC-00235,HOSP-00012,Tina James,Radiology,,12345,N/A,vincent16@example.org,
DOC-00236,HOSP-00049,Scott Aguirre,Oncology,,12345,,doctor@,Inactive
DOC-00237,HOSP-00002,Douglas Nelson,General Medicine,LIC-INVALID,,N/A,doctor@,active
DOC-00238,HOSP-00061,David Acevedo,General medicine,,4712111856,,,
DOC-00239,HOSP-00066,Casey Francis,Orthopedics,LIC-769538,,+1-423-207-4698,,
DOC-00240,HOSP-00036,Jonathan Chaney,Psychiatry,LIC-INVALID,,N/A,doctor@,active
DOC-00241,HOSP-00023,Christopher Shields,Dermatology,,12345,(923)651-1998,mccoyleslie@example.com,active
DOC-00242,HOSP-00078,Kevin Patel,ENT,LIC-INVALID,,,melissasullivan@example.org,On Leave
DOC-00243,HOSP-00056,Jose Floyd,cardiology,LIC-852591,,+1-256-488-6317,,Inactive
DOC-00244,HOSP-00036,Troy Bowen,Neurology,LIC-INVALID,12345,N/A,zacharyturner@example.net,active
DOC-00245,HOSP-00046,David Stephens,Oncology,LIC-635301,12345,,yosborne@example.com,
DOC-00246,HOSP-00085,Christopher Hebert,Orthopedics,,,+1-908-765-6099x250,ahenson@example.net,Active
DOC-00247,HOSP-00048,David Dominguez,Cardiology,,8344763236,982.250.9894,,
DOC-00248,HOSP-00078,Christine Mcneil,ENT,,,,,On Leave
DOC-00249,HOSP-00029,Brian Mcgrath,Oncology,LIC-INVALID,3846451716,713-899-0690,doctor@,
DOC-00250,HOSP-00063,Ryan Hawkins,Pediatric,,12345,,doctor@,On Leave
DOC-00251,HOSP-00017,Brian Melendez,ENT,LIC-INVALID,12345,746-895-1442x488,doctor@,active
DOC-00252,HOSP-00047,Alec West,cardiology,LIC-INVALID,12345,N/A,doctor@,
DOC-00253,HOSP-00010,Rebecca Campbell,Oncology,,6686941727,,,
DOC-00254,HOSP-00017,Martha Roth,ENT,,6054997244,,mary78@example.org,
DOC-00255,HOSP-00011,Mark Jones,Cardiology,LIC-518406,,+1-914-532-9236x504,,Inactive
DOC-00256,HOSP-00057,Jessica Stephens,Oncology,,,870-638-3743x71683,,On Leave
DOC-00257,HOSP-00047,Amy Hart,Oncology,LIC-616092,1321950040,001-784-746-5939x116,doctor@,Inactive
DOC-00258,HOSP-00039,Katherine Hoffman,Cardiology,LIC-INVALID,,N/A,doctor@,
DOC-00259,HOSP-00065,Karen Molina MD,Radiology,,,001-481-325-8899x389,doctor@,Active
DOC-00260,HOSP-00064,Pamela Estrada,Neurology,LIC-916647,,,davisdavid@example.com,Active
DOC-00261,HOSP-00032,Amy Nelson,ENT,,12345,N/A,wilsonlatoya@example.com,Active
DOC-00262,HOSP-00047,William Santana,General Medicine,LIC-INVALID,12345,N/A,doctor@,
DOC-00263,HOSP-00048,Angela Fleming,Dermatology,,12345,+1-795-738-9687x6547,doctor@,Active
DOC-00264,HOSP-00040,Robert Solis,Cardiology,,1282285843,,twalters@example.com,On Leave
DOC-00265,HOSP-00081,James Weaver,General medicine,LIC-INVALID,12345,N/A,doctor@,active
DOC-00266,HOSP-00037,Dustin Gomez,General Medicine,LIC-136614,,,doctor@,Inactive
DOC-00267,HOSP-00024,Anita Walker,Orthopedics,LIC-170326,12345,,doctor@,Inactive
DOC-00268,HOSP-00034,Darren Morrow,General medicine,LIC-939344,4804584735,634-363-6687x007,nicholaslee@example.net,
DOC-00269,HOSP-00078,Malik Howard,General Medicine,LIC-384944,5732684527,,,Inactive
DOC-00270,HOSP-00020,Danielle Smith,Orthopedics,LIC-INVALID,,517-910-6530x8542,,Active
DOC-00271,HOSP-00048,Morgan Cole,Dermatology,,12345,N/A,tgordon@example.org,On Leave
DOC-00272,HOSP-00057,Jessica Taylor,ENT,LIC-INVALID,,N/A,doctor@,Inactive
DOC-00273,HOSP-00021,Jean Watkins,General medicine,LIC-306316,12345,,,
