employee_id,name,branch_id,role,hire_date,salary,hire_year,hire_month,hire_day,salarys
46,Sarah Reddy,70,Loan Officer,2001-12-20,102523,2001,12,20,False
47,Ajay Kumar,89,Loan Officer,2020-01-19,35312,2020,1,19,False
48,Meera Iyer,142,Relationship Manager,2022-03-25,55542,2022,3,25,False
49,Michael Patel,79,Teller,2018-03-21,113530,2018,3,21,False
50,Anjali Mehta,111,Compliance Officer,2023-12-30,53594,2023,12,30,False
51,Patricia Bose,15,Loan Officer,2023-11-14,87500,2023,11,14,False
52,Pooja Sharma,33,Customer Service,2001-03-08,46927,2001,3,8,False
53,Ritu Bose,143,Compliance Officer,2008-09-09,149139,2008,9,9,False
54,Anjali Davis,129,Teller,2019-04-26,123822,2019,4,26,False
55,Elizabeth Gupta,99,Relationship Manager,2008-08-18,147160,2008,8,18,False
56,Anjali Joshi,57,Customer Service,2018-09-25,35972,2018,9,25,False
57,Robert Pillai,30,Customer Service,2019-09-05,85085,2019,9,5,False
58,Rohan Joshi,128,Teller,2025-05-03,68677,2025,5,3,False
59,Karen Martinez,118,Branch Manager,2008-05-20,122652,2008,5,20,False
60,Richard Chatterjee,37,Customer Service,2008-11-03,152867,2008,11,3,False
61,James Pillai,89,Loan Officer,2000-08-13,62587,2000,8,13,False
62,Sanjay Menon,93,Teller,2007-04-04,144999,2007,4,4,False
63,Susan Smith,72,Teller,2011-07-07,116221,2011,7,7,False
64,Arjun Chopra,140,Relationship Manager,2010-09-14,153256,2010,9,14,False
65,Thomas Menon,19,Teller,2021-10-08,40352,2021,10,8,False
66,Jessica Chopra,39,Customer Service,2019-09-01,178620,2019,9,1,False
67,Anjali Miller,15,Compliance Officer,2018-07-08,94059,2018,7,8,False
68,Patricia Chopra,104,Teller,2000-02-18,70572,2000,2,18,False
69,Pooja Brown,97,Teller,2011-12-27,55774,2011,12,27,False
70,Pooja Iyer,149,Customer Service,2018-07-17,177706,2018,7,17,False
71,Jessica Mehta,82,Teller,2006-03-20,162273,2006,3,20,False
72,David Patel,23,Customer Service,2010-10-18,47941,2010,10,18,False
73,James Singh,68,Customer Service,2018-06-23,95624,2018,6,23,False
74,Kiran Davis,14,Customer Service,2020-03-11,139497,2020,3,11,False
75,Kiran Mehta,101,Loan Officer,2021-09-19,117797,2021,9,19,False
76,Elizabeth Kapoor,102,Customer Service,2010-12-03,56733,2010,12,3,False
77,Mary Kapoor,129,Customer Service,2010-03-01,82778,2010,3,1,False
78,Jennifer Rodriguez,51,Teller,2009-09-22,83956,2009,9,22,False
79,John Martinez,47,Customer Service,2010-08-30,71888,2010,8,30,False
80,Ritu Davis,11,Relationship Manager,2010-03-04,174026,2010,3,4,False
81,Anjali Patel,63,Customer Service,2004-04-11,58843,2004,4,11,False
82,Michael Rao,72,Loan Officer,2012-02-28,135404,2012,2,28,False
83,Pooja Sharma,114,Teller,2006-01-11,166604,2006,1,11,False
84,Linda Gupta,114,Teller,2013-05-04,148811,2013,5,4,False
85,Jessica Rodriguez,22,Teller,2022-08-02,149518,2022,8,2,False
86,Sneha Miller,43,Teller,2019-09-19,52139,2019,9,19,False
87,Rahul Kapoor,77,Compliance Officer,2012-02-24,48255,2012,2,24,False
88,Suresh Bose,51,Teller,2024-11-04,147003,2024,11,4,False
89,Mary Rodriguez,4,Relationship Manager,2024-11-29,141502,2024,11,29,False
90,William Chatterjee,127,Teller,2011-04-18,140767,2011,4,18,False
91,Barbara Rao,110,Teller,2019-05-28,91616,2019,5,28,False
92,Richard Garcia,79,Loan Officer,2008-09-12,107563,2008,9,12,False
93,Meera Sharma,48,Teller,2022-05-01,30340,2022,5,1,False
94,Sanjay Smith,127,Customer Service,2009-06-30,72236,2009,6,30,False
95,Susan Johnson,6,Compliance Officer,2006-07-25,108311,2006,7,25,False
96,Ajay Sharma,67,Relationship Manager,2003-05-27,47110,2003,5,27,False
97,Anita Patel,121,Teller,2021-06-01,47767,2021,6,1,False
98,Anita Malhotra,143,Customer Service,2007-07-19,34872,2007,7,19,False
99,Sarah Jones,38,Teller,2020-09-02,59910,2020,9,2,False
100,Jennifer Chatterjee,98,Relationship Manager,2002-03-13,178917,2002,3,13,False
101,Kiran Davis,29,Branch Manager,2010-11-16,133798,2010,11,16,False
102,James Jones,18,Teller,2011-02-25,172134,2011,2,25,False
103,Linda Singh,53,Teller,2004-04-02,67085,2004,4,2,False
104,Elizabeth Malhotra,133,Teller,2008-10-20,119025,2008,10,20,False
105,Barbara Mehta,104,Teller,2011-12-14,163567,2011,12,14,False
106,Jennifer Brown,74,Relationship Manager,2020-03-02,81508,2020,3,2,False
107,James Brown,43,Customer Service,2011-10-02,127889,2011,10,2,False
108,Arjun Verma,22,Compliance Officer,2006-04-01,133310,2006,4,1,False
109,Ajay Patel,41,Teller,2006-09-02,154507,2006,9,2,False
110,Robert Menon,23,Customer Service,2015-07-21,175360,2015,7,21,False
111,Richard Rodriguez,29,Teller,2011-01-27,121508,2011,1,27,False
112,Anita Garcia,104,Branch Manager,2022-11-26,116545,2022,11,26,False
113,Kiran Pillai,20,Teller,2011-03-06,160065,2011,3,6,False
114,Kavya Jones,8,Teller,2014-05-29,132047,2014,5,29,False
115,Sanjay Smith,82,Customer Service,2001-08-16,82976,2001,8,16,False
116,Amit Gupta,43,Teller,2004-12-03,123781,2004,12,3,False
117,Sarah Gupta,69,Loan Officer,2021-08-10,111469,2021,8,10,False
118,William Mehta,21,Customer Service,2008-10-05,62771,2008,10,5,False
119,Suresh Desai,32,Teller,2010-09-13,106415,2010,9,13,False
120,Divya Joshi,67,Relationship Manager,2015-01-02,122782,2015,1,2,False
121,Mary Rodriguez,104,Branch Manager,2001-06-21,165376,2001,6,21,False
122,Rahul Menon,63,Relationship Manager,2012-11-15,116231,2012,11,15,False
123,Patricia Mehta,82,Customer Service,2008-10-18,53067,2008,10,18,False
124,Pooja Williams,79,Customer Service,2003-10-11,178122,2003,10,11,False
125,Manoj Pillai,41,Customer Service,2010-08-19,115865,2010,8,19,False
126,Jennifer Jones,42,Relationship Manager,2011-05-10,71639,2011,5,10,False
127,Sarah Rao,64,Customer Service,2004-09-25,142673,2004,9,25,False
128,Jennifer Malhotra,5,Teller,2013-10-20,86474,2013,10,20,False
129,Amit Davis,103,Teller,2006-10-17,84247,2006,10,17,False
130,Kiran Rodriguez,93,Customer Service,2024-07-25,155594,2024,7,25,False
131,Patricia Iyer,46,Teller,2015-07-26,159872,2015,7,26,False
132,Thomas Desai,57,Teller,2019-08-25,107636,2019,8,25,False
133,Ajay Miller,50,Teller,2001-10-13,84698,2001,10,13,False
134,Richard Kapoor,98,Branch Manager,2019-07-04,159217,2019,7,4,False
135,Jennifer Patel,114,Teller,2018-01-18,54342,2018,1,18,False
136,Anita Brown,17,Customer Service,2020-06-10,141573,2020,6,10,False
137,Anita Kumar,62,Customer Service,2006-05-13,116775,2006,5,13,False
138,Arjun Bose,3,Relationship Manager,2006-08-03,157816,2006,8,3,False
139,Richard Rao,68,Teller,2001-07-06,91926,2001,7,6,False
140,Ajay Garcia,38,Branch Manager,2015-05-19,154468,2015,5,19,False
141,Rohan Jones,51,Customer Service,2010-06-03,30308,2010,6,3,False
142,Barbara Gupta,69,Loan Officer,2004-02-03,143256,2004,2,3,False
143,Ajay Nair,49,Customer Service,2008-01-16,38615,2008,1,16,False
144,Deepak Reddy,60,Teller,2010-03-28,125645,2010,3,28,False
145,Anita Davis,115,Compliance Officer,2023-04-14,57682,2023,4,14,False
146,Mary Nair,122,Teller,2003-02-25,174447,2003,2,25,False
147,Sneha Rodriguez,1,Relationship Manager,2008-09-21,144938,2008,9,21,False
148,Priya Singh,57,Customer Service,2006-01-06,43901,2006,1,6,False
149,Michael Malhotra,128,Teller,2022-06-26,163590,2022,6,26,False
150,Vikram Kapoor,80,Customer Service,2023-02-10,66295,2023,2,10,False
151,Ritu Smith,31,Teller,2009-08-29,110937,2009,8,29,False
152,Robert Menon,90,Customer Service,2018-12-16,40961,2018,12,16,False
153,Rahul Smith,22,Customer Service,2019-03-19,44045,2019,3,19,False
154,Jennifer Menon,4,Teller,2017-04-30,64679,2017,4,30,False
155,Pooja Smith,95,Teller,2004-09-27,109231,2004,9,27,False
156,Sarah Nair,78,Customer Service,2001-04-04,110520,2001,4,4,False
157,James Brown,114,Teller,2008-10-28,158052,2008,10,28,False
158,Ajay Williams,52,Relationship Manager,2003-05-02,53101,2003,5,2,False
159,Michael Singh,129,Customer Service,2007-06-06,141920,2007,6,6,False
160,Sneha Kumar,64,Customer Service,2016-03-22,28893,2016,3,22,False
161,Linda Brown,111,Teller,2014-12-18,72246,2014,12,18,False
162,Kiran Menon,16,Customer Service,2005-04-28,54601,2005,4,28,False
163,Pooja Martinez,15,Relationship Manager,2000-06-13,46831,2000,6,13,False
164,Divya Martinez,118,Teller,2005-09-25,116847,2005,9,25,False
165,Sarah Rodriguez,126,Teller,2011-07-23,164903,2011,7,23,False
166,Karen Patel,142,Teller,2019-10-20,129380,2019,10,20,False
167,Neha Garcia,49,Loan Officer,2009-04-12,157821,2009,4,12,False
168,Divya Gupta,4,Customer Service,2007-04-08,117899,2007,4,8,False
169,Ritu Miller,147,Loan Officer,2014-01-05,36164,2014,1,5,False
170,James Johnson,91,Customer Service,2001-10-26,80590,2001,10,26,False
171,Arjun Verma,38,Teller,2005-09-23,153198,2005,9,23,False
172,Robert Singh,115,Teller,2013-05-11,34719,2013,5,11,False
173,Barbara Chopra,136,Teller,2011-04-07,42776,2011,4,7,False
174,Ritu Sharma,43,Relationship Manager,2015-09-07,154737,2015,9,7,False
175,David Martinez,116,Customer Service,2010-01-15,37619,2010,1,15,False
176,Divya Malhotra,119,Loan Officer,2023-05-04,173835,2023,5,4,False
177,Charles Singh,76,Customer Service,2002-10-25,143307,2002,10,25,False
178,Elizabeth Bose,95,Teller,2023-05-21,129097,2023,5,21,False
179,Susan Joshi,41,Teller,2004-12-30,109519,2004,12,30,False
180,Rohan Bose,140,Teller,2006-04-24,41579,2006,4,24,False
181,Sanjay Pillai,148,Compliance Officer,2013-06-19,91011,2013,6,19,False
182,Sneha Gupta,148,Customer Service,2000-09-29,150779,2000,9,29,False
183,Kiran Verma,111,Customer Service,2009-04-03,165387,2009,4,3,False
184,Suresh Martinez,7,Teller,2004-12-11,95941,2004,12,11,False
185,Pooja Davis,55,Teller,2012-04-06,155574,2012,4,6,False
186,Sneha Chopra,67,Customer Service,2020-09-14,146042,2020,9,14,False
187,Barbara Kumar,144,Loan Officer,2023-06-27,36758,2023,6,27,False
188,Thomas Bose,83,Relationship Manager,2005-05-23,122266,2005,5,23,False
189,Robert Garcia,81,Customer Service,2013-11-06,121645,2013,11,6,False
190,Jessica Iyer,23,Loan Officer,2012-01-22,110517,2012,1,22,False
191,Deepak Miller,120,Customer Service,2010-07-20,145384,2010,7,20,False
192,Sarah Desai,51,Compliance Officer,2016-01-30,163203,2016,1,30,False
193,Robert Rodriguez,14,Loan Officer,2025-02-22,111674,2025,2,22,False
194,Neha Jones,149,Customer Service,2010-04-19,76698,2010,4,19,False
195,Ajay Rao,29,Relationship Manager,2001-08-28,177416,2001,8,28,False
196,Suresh Desai,3,Teller,2023-04-12,174471,2023,4,12,False
197,Barbara Joshi,12,Relationship Manager,2023-09-09,132279,2023,9,9,False
198,Charles Williams,68,Teller,2008-03-11,125376,2008,3,11,False
199,Rohan Martinez,16,Customer Service,2012-09-30,43829,2012,9,30,False
200,David Jones,127,Customer Service,2021-12-03,89045,2021,12,3,False
201,Barbara Martinez,77,Customer Service,2012-03-24,58141,2012,3,24,False
202,Elizabeth Reddy,49,Loan Officer,2023-06-07,106263,2023,6,7,False
203,Meera Rodriguez,1,Customer Service,2021-01-23,153589,2021,1,23,False
204,Pooja Williams,72,Teller,2012-11-22,62128,2012,11,22,False
205,Ritu Nair,23,Teller,2004-02-08,179507,2004,2,8,False
206,Manoj Johnson,147,Teller,2017-03-11,47688,2017,3,11,False
207,Ajay Miller,44,Customer Service,2006-12-04,42947,2006,12,4,False
208,Robert Smith,72,Loan Officer,2013-08-27,176119,2013,8,27,False
209,Anjali Williams,3,Teller,2016-09-28,43250,2016,9,28,False
210,John Patel,20,Relationship Manager,2002-02-28,139747,2002,2,28,False
211,Karen Chatterjee,32,Loan Officer,2014-06-24,144034,2014,6,24,False
212,Sneha Malhotra,8,Loan Officer,2018-09-29,78176,2018,9,29,False
213,Joseph Williams,109,Loan Officer,2005-06-12,37781,2005,6,12,False
214,Jennifer Johnson,142,Teller,2013-12-08,74889,2013,12,8,False
215,Linda Sharma,148,Customer Service,2018-01-11,38421,2018,1,11,False
216,Manoj Kapoor,40,Loan Officer,2001-02-15,130180,2001,2,15,False
217,Susan Chopra,119,Teller,2016-05-15,163100,2016,5,15,False
218,Richard Bose,76,Compliance Officer,2006-08-08,179556,2006,8,8,False
219,Deepak Sharma,7,Relationship Manager,2010-02-05,149668,2010,2,5,False
220,Jennifer Garcia,14,Customer Service,2016-06-20,145744,2016,6,20,False
221,Deepak Smith,83,Relationship Manager,2000-02-10,161997,2000,2,10,False
222,Deepak Jones,64,Relationship Manager,2011-05-08,145020,2011,5,8,False
223,Sneha Johnson,2,Teller,2024-02-20,126878,2024,2,20,False
224,Michael Chatterjee,140,Customer Service,2000-02-26,179430,2000,2,26,False
225,Michael Rodriguez,110,Customer Service,2020-01-18,77025,2020,1,18,False
226,Barbara Bose,76,Teller,2001-11-27,90739,2001,11,27,False
227,Amit Reddy,149,Teller,2012-06-04,165759,2012,6,4,False
228,Michael Reddy,146,Teller,2010-12-11,75275,2010,12,11,False
229,Charles Patel,147,Customer Service,2011-11-24,73405,2011,11,24,False
230,Robert Bose,39,Customer Service,2002-01-30,51116,2002,1,30,False
231,Priya Johnson,133,Customer Service,2019-02-25,69877,2019,2,25,False
232,James Williams,76,Teller,2007-01-03,118233,2007,1,3,False
233,Rahul Gupta,109,Teller,2019-08-06,162732,2019,8,6,False
234,John Verma,129,Loan Officer,2016-08-28,48712,2016,8,28,False
235,Linda Reddy,25,Branch Manager,2014-01-04,131485,2014,1,4,False
236,Linda Chopra,68,Relationship Manager,2007-11-04,144483,2007,11,4,False
237,Ritu Rao,20,Relationship Manager,2016-07-29,164142,2016,7,29,False
238,John Davis,42,Relationship Manager,2025-05-10,142007,2025,5,10,False
239,Sarah Martinez,63,Relationship Manager,2023-06-18,51696,2023,6,18,False
240,Sneha Chopra,129,Compliance Officer,2023-04-16,102314,2023,4,16,False
241,Rohan Miller,130,Loan Officer,2005-08-01,172749,2005,8,1,False
242,Arjun Nair,59,Teller,2014-11-16,166078,2014,11,16,False
243,Divya Reddy,50,Teller,2010-02-09,121136,2010,2,9,False
244,Thomas Chopra,80,Loan Officer,2024-07-29,174404,2024,7,29,False
245,Manoj Kumar,137,Teller,2024-02-23,129541,2024,2,23,False
246,Susan Patel,147,Teller,2022-01-22,37863,2022,1,22,False
247,Meera Martinez,35,Compliance Officer,2004-02-19,166937,2004,2,19,False
248,Anita Verma,28,Teller,2008-02-08,53558,2008,2,8,False
249,Pooja Gupta,107,Compliance Officer,2018-01-28,85874,2018,1,28,False
250,Suresh Miller,46,Customer Service,2019-01-19,64191,2019,1,19,False
251,Divya Mehta,30,Customer Service,2003-06-24,137375,2003,6,24,False
252,Ritu Miller,5,Customer Service,2003-06-24,32557,2003,6,24,False
253,Rohan Kapoor,61,Teller,2017-05-25,125331,2017,5,25,False
254,Mary Chopra,59,Customer Service,2011-07-18,159385,2011,7,18,False
255,Anita Pillai,85,Teller,2012-06-24,147738,2012,6,24,False
256,Linda Brown,31,Relationship Manager,2000-06-05,74662,2000,6,5,False
257,Anjali Chopra,108,Teller,2019-03-06,164335,2019,3,6,False
258,Elizabeth Williams,103,Teller,2006-12-20,83030,2006,12,20,False
259,Elizabeth Sharma,70,Customer Service,2023-09-01,131369,2023,9,1,False
260,David Garcia,28,Customer Service,2024-04-12,105014,2024,4,12,False
261,Neha Jones,77,Loan Officer,2012-10-05,38281,2012,10,5,False
262,Amit Garcia,102,Customer Service,2008-01-10,28446,2008,1,10,False
263,Kiran Johnson,56,Teller,2005-12-04,55837,2005,12,4,False
264,Sarah Bose,40,Customer Service,2004-08-11,170067,2004,8,11,False
265,Barbara Johnson,76,Teller,2025-05-24,173004,2025,5,24,False
266,John Verma,54,Teller,2004-10-06,90336,2004,10,6,False
267,James Singh,61,Teller,2012-03-06,175234,2012,3,6,False
268,Jessica Menon,53,Teller,2017-04-05,35517,2017,4,5,False
269,Deepak Chatterjee,46,Teller,2021-06-01,175046,2021,6,1,False
270,Rohan Jones,108,Loan Officer,2014-03-07,63099,2014,3,7,False
271,Anjali Menon,70,Teller,2019-04-07,33593,2019,4,7,False
272,Robert Kapoor,70,Teller,2014-05-27,143195,2014,5,27,False
273,Patricia Garcia,98,Branch Manager,2011-02-07,86132,2011,2,7,False
274,Ritu Patel,55,Teller,2004-01-04,72434,2004,1,4,False
275,Robert Joshi,16,Customer Service,2005-04-21,143470,2005,4,21,False
276,John Verma,128,Relationship Manager,2010-12-28,78625,2010,12,28,False
277,Thomas Garcia,9,Loan Officer,2001-03-03,142438,2001,3,3,False
278,Deepak Desai,86,Relationship Manager,2008-01-15,57677,2008,1,15,False
279,Kavya Pillai,40,Teller,2011-10-04,41058,2011,10,4,False
280,Robert Menon,33,Teller,2012-01-05,77388,2012,1,5,False
281,Ritu Pillai,7,Customer Service,2020-09-15,120642,2020,9,15,False
282,Ritu Desai,136,Customer Service,2024-08-04,62196,2024,8,4,False
283,Divya Patel,65,Relationship Manager,2018-07-18,49716,2018,7,18,False
284,Deepak Garcia,52,Teller,2002-01-08,141870,2002,1,8,False
285,Elizabeth Mehta,112,Customer Service,2010-05-21,102967,2010,5,21,False
286,Meera Miller,6,Loan Officer,2018-07-20,93581,2018,7,20,False
287,Susan Iyer,85,Teller,2015-02-11,64432,2015,2,11,False
288,Divya Kapoor,75,Teller,2011-08-20,30689,2011,8,20,False
289,Amit Pillai,84,Compliance Officer,2011-02-01,36080,2011,2,1,False
290,Sanjay Rodriguez,19,Teller,2010-04-26,131587,2010,4,26,False
291,Vikram Davis,143,Relationship Manager,2014-09-19,40162,2014,9,19,False
292,Neha Chopra,36,Customer Service,2004-07-17,65533,2004,7,17,False
293,Vikram Smith,102,Customer Service,2013-02-25,166455,2013,2,25,False
294,Sanjay Reddy,113,Customer Service,2005-03-26,80284,2005,3,26,False
295,Pooja Chopra,52,Relationship Manager,2017-04-22,141186,2017,4,22,False
296,Jennifer Reddy,20,Teller,2021-12-23,80185,2021,12,23,False
297,Manoj Verma,45,Teller,2009-11-06,169637,2009,11,6,False
298,Rohan Bose,122,Customer Service,2023-11-27,152923,2023,11,27,False
299,Susan Verma,136,Loan Officer,2016-10-06,99438,2016,10,6,False
300,Rohan Kumar,141,Teller,2010-11-17,132030,2010,11,17,False
301,Ajay Patel,34,Teller,2000-05-27,90820,2000,5,27,False
302,Suresh Smith,91,Teller,2005-08-18,171549,2005,8,18,False
303,Ritu Nair,23,Teller,2006-01-03,82477,2006,1,3,False
304,Charles Johnson,107,Teller,2018-05-02,155141,2018,5,2,False
305,Divya Joshi,63,Relationship Manager,2012-09-21,121678,2012,9,21,False
306,Jessica Mehta,108,Teller,2025-05-31,125840,2025,5,31,False
307,Kavya Verma,103,Compliance Officer,2013-09-27,81437,2013,9,27,False
308,Neha Iyer,149,Compliance Officer,2022-12-14,154596,2022,12,14,False
309,David Mehta,74,Teller,2014-01-14,141433,2014,1,14,False
310,David Davis,52,Customer Service,2009-02-06,151924,2009,2,6,False
311,John Rodriguez,80,Customer Service,2018-02-28,149800,2018,2,28,False
312,Jennifer Gupta,25,Customer Service,2011-06-04,51956,2011,6,4,False
313,Sarah Davis,17,Teller,2006-12-24,161128,2006,12,24,False
314,Karen Chopra,78,Teller,2012-01-10,155960,2012,1,10,False
315,Michael Brown,124,Teller,2016-11-24,64905,2016,11,24,False
316,Sarah Bose,80,Customer Service,2009-07-18,177211,2009,7,18,False
317,Sneha Sharma,118,Compliance Officer,2017-11-22,108107,2017,11,22,False
318,Elizabeth Reddy,27,Customer Service,2024-12-03,76930,2024,12,3,False
319,Susan Jones,68,Customer Service,2010-06-14,61963,2010,6,14,False
320,Jessica Verma,92,Compliance Officer,2007-07-03,83436,2007,7,3,False
321,Anita Chopra,53,Customer Service,2010-03-22,33708,2010,3,22,False
322,Jessica Rodriguez,3,Teller,2021-04-21,132987,2021,4,21,False
323,Pooja Brown,12,Relationship Manager,2004-07-18,135589,2004,7,18,False
324,Susan Nair,140,Loan Officer,2024-09-29,129502,2024,9,29,False
325,Sarah Jones,91,Teller,2010-07-10,111445,2010,7,10,False
326,Jessica Martinez,40,Branch Manager,2021-05-22,83137,2021,5,22,False
327,Linda Patel,39,Relationship Manager,2019-12-31,138036,2019,12,31,False
328,Kavya Reddy,6,Teller,2019-11-30,160450,2019,11,30,False
329,Elizabeth Kapoor,142,Loan Officer,2023-02-06,41318,2023,2,6,False
330,Richard Singh,17,Teller,2004-09-11,86197,2004,9,11,False
331,Divya Chatterjee,114,Teller,2015-02-01,179319,2015,2,1,False
332,Kiran Johnson,37,Teller,2002-07-08,159019,2002,7,8,False
333,Arjun Sharma,51,Customer Service,2007-08-11,179140,2007,8,11,False
334,Deepak Smith,42,Relationship Manager,2001-01-11,55860,2001,1,11,False
335,Suresh Smith,124,Teller,2017-05-04,98679,2017,5,4,False
336,Karen Miller,5,Teller,2015-06-12,47813,2015,6,12,False
337,Sanjay Rao,53,Teller,2018-10-23,159640,2018,10,23,False
338,Susan Desai,42,Teller,2004-06-23,106860,2004,6,23,False
339,Charles Malhotra,41,Customer Service,2008-06-10,65022,2008,6,10,False
340,Rohan Kapoor,29,Customer Service,2017-03-10,41729,2017,3,10,False
341,Ajay Malhotra,137,Customer Service,2022-07-05,140110,2022,7,5,False
342,Ritu Garcia,57,Loan Officer,2001-11-15,151400,2001,11,15,False
343,Anita Chatterjee,63,Customer Service,2010-03-25,161642,2010,3,25,False
344,Neha Desai,58,Teller,2020-10-20,175649,2020,10,20,False
345,William Williams,148,Teller,2003-02-15,151829,2003,2,15,False
346,Divya Iyer,51,Relationship Manager,2003-12-19,147520,2003,12,19,False
347,Priya Bose,52,Customer Service,2000-05-22,151389,2000,5,22,False
348,Rohan Iyer,50,Relationship Manager,2022-05-04,179802,2022,5,4,False
349,Sanjay Chatterjee,50,Relationship Manager,2011-02-25,98380,2011,2,25,False
350,Vikram Pillai,14,Customer Service,2010-10-20,143303,2010,10,20,False
351,John Iyer,91,Relationship Manager,2016-06-08,152638,2016,6,8,False
352,Barbara Johnson,4,Loan Officer,2006-12-27,45674,2006,12,27,False
353,Linda Sharma,34,Teller,2017-07-22,132987,2017,7,22,False
354,Pooja Miller,31,Teller,2010-11-27,79502,2010,11,27,False
355,Mary Iyer,44,Teller,2006-12-06,48132,2006,12,6,False
356,William Rao,114,Teller,2010-01-13,53895,2010,1,13,False
357,Sneha Patel,90,Loan Officer,2000-02-27,45356,2000,2,27,False
358,Kavya Garcia,149,Customer Service,2007-08-30,164457,2007,8,30,False
359,Anita Martinez,53,Customer Service,2015-01-12,145332,2015,1,12,False
360,Suresh Singh,140,Customer Service,2003-07-04,43526,2003,7,4,False
361,Deepak Smith,7,Teller,2003-01-05,123070,2003,1,5,False
362,Jennifer Miller,76,Customer Service,2016-09-01,128385,2016,9,1,False
363,Ajay Desai,120,Loan Officer,2010-11-19,106945,2010,11,19,False
364,Vikram Williams,80,Teller,2003-06-22,120128,2003,6,22,False
365,Neha Gupta,140,Teller,2019-01-03,165903,2019,1,3,False
366,Patricia Miller,48,Teller,2019-09-16,106865,2019,9,16,False
367,Vikram Brown,5,Teller,2000-11-18,128257,2000,11,18,False
368,Rahul Gupta,117,Relationship Manager,2005-02-15,114806,2005,2,15,False
369,Amit Nair,11,Customer Service,2009-05-30,88214,2009,5,30,False
370,Patricia Garcia,115,Customer Service,2018-08-03,163409,2018,8,3,False
371,Rohan Williams,111,Teller,2001-11-18,90917,2001,11,18,False
372,Kiran Jones,127,Relationship Manager,2020-06-22,149592,2020,6,22,False
373,Rahul Kapoor,72,Customer Service,2008-02-13,119997,2008,2,13,False
374,Jennifer Chatterjee,135,Teller,2003-03-09,132113,2003,3,9,False
375,Ajay Garcia,26,Customer Service,2021-12-10,143561,2021,12,10,False
